model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L1_a,L1,plain_instruction,2b888ddda7917baf9e2bc9c825461b0bd3d26c001bd6d476af6f3897deefed16,"You are a speech transcription system. Transcribe the following Nepali audio into Nepali text using Devanagari script. Produce a verbatim transcription. Do not translate. Return only the transcription, nothing else.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,यु नोरウェイ स्वेडन र न्यूज़ीलैंड डोरार माइलन गोरियेकु तो डोर र अनीटा इक तोम ओ दिट दयत र निडरन निडरलम म अंक इक दिगिटिल्स समता।,यु नोरウェイ स्वेडन र न्यूज़ीलैंड डोरार माइलन गोरियेकु तो डोर र अनीटा इक तोम ओ दिट दयत र निडरन निडरलम म अंक इक दिगिटिल्स समता।,यु नोरウェイ स्वेडन र न्यूज़ीलैंड डोरार माइलन गोरियेकु तो डोर र अनीटा इक तोम ओ दिट दयत र निडरन निडरलम म अंक इक दिगिटिल्स समता,66,7.129,,,2026-08-13T07:22:06.902703,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,1.2,0.592,1,19,0,5,20,24,64,45,16,13,125,74,25,1.25,0.25,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L1_b,L1,structured_instruction,90140043971620d1f647d8479139bcce48c2e3079c86e8a5530c894c4b5c8315,"Task: verbatim Nepali speech transcription.
Language: Nepali (Devanagari script).
Transcribe exactly what is spoken. Do not translate. Output only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"एक, नॉरウェイ, स्वीडन, न्यूज़ीलैंड, दोर, म्यलान, गोरियाकु, टोर, अनीटा, इक, तुम, ओ, दो, तु, दिहा, रन, नेदरलैंड, मा, एक, ओक, इक, तिगittali, समता।","एक, नॉरウェイ, स्वीडन, न्यूज़ीलैंड, दोर, म्यलान, गोरियाकु, टोर, अनीटा, इक, तुम, ओ, दो, तु, दिहा, रन, नेदरलैंड, मा, एक, ओक, इक, तिगittali, समता।",एक नॉरウェイ स्वीडन न्यूज़ीलैंड दोर म्यलान गोरियाकु टोर अनीटा इक तुम ओ दो तु दिहा रन नेदरलैंड मा एक ओक इक तिगittali समता,81,8.437,,,2026-08-13T07:22:14.033452,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,1.1,0.6,1,19,0,3,20,22,59,49,17,9,125,75,23,1.15,0.15,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L1_c,L1,compact_instruction,33ddc847dc650e0134461f42468ad735602cc3c14a7b7463c90a7a0d9832b9d4,"Listen to the audio and write the exact Nepali words spoken in Devanagari. Do not translate, explain, or add anything. Return only the transcript.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यु नॉर्वेज़, स्वेयडन, न्यूज़ीलैंड, डोरार, म्यलान, गोरियेकुटा, डोरार, अनीeta, इक्टुम, ओडिटीया, उडाहरन, निडरलैंड, मा, अंक, इक, डी, गिटालिस, समता।","यु नॉर्वेज़, स्वेयडन, न्यूज़ीलैंड, डोरार, म्यलान, गोरियेकुटा, डोरार, अनीeta, इक्टुम, ओडिटीया, उडाहरन, निडरलैंड, मा, अंक, इक, डी, गिटालिस, समता।",यु नॉर्वेज़ स्वेयडन न्यूज़ीलैंड डोरार म्यलान गोरियेकुटा डोरार अनीeta इक्टुम ओडिटीया उडाहरन निडरलैंड मा अंक इक डी गिटालिस समता,87,9.186,,,2026-08-13T07:22:22.471345,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,1.0,0.568,0,19,1,0,20,20,69,41,15,15,125,71,19,0.95,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L1_a,L1,plain_instruction,2b888ddda7917baf9e2bc9c825461b0bd3d26c001bd6d476af6f3897deefed16,"You are a speech transcription system. Transcribe the following Nepali audio into Nepali text using Devanagari script. Produce a verbatim transcription. Do not translate. Return only the transcription, nothing else.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,「オイルアイルランデプニソイコサナゴリコフ」。,「オイルアイルランデプニソイコサナゴリコフ」。,オイルアイルランデプニソイコサナゴリコフ,20,2.588,,,2026-08-13T07:22:31.659070,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,1.0,1.0,0,1,7,0,8,8,0,20,20,0,40,40,1,0.125,0.0,False,False,False,False,,True,False,False,False,False,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L1_b,L1,structured_instruction,90140043971620d1f647d8479139bcce48c2e3079c86e8a5530c894c4b5c8315,"Task: verbatim Nepali speech transcription.
Language: Nepali (Devanagari script).
Transcribe exactly what is spoken. Do not translate. Output only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,ओイ अयूर इरांलेpoonisuykosa nagarekho.,ओイ अयूर इरांलेpoonisuykosa nagarekho.,ओイ अयूर इरांलेpoonisuykosa nagarekho,19,2.195,,,2026-08-13T07:22:34.248439,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,1.0,0.825,0,4,4,0,8,8,7,29,4,0,40,33,4,0.5,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L1_c,L1,compact_instruction,33ddc847dc650e0134461f42468ad735602cc3c14a7b7463c90a7a0d9832b9d4,"Listen to the audio and write the exact Nepali words spoken in Devanagari. Do not translate, explain, or add anything. Return only the transcript.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,होलै आइल आयरांडा-paying-ko-सांगोरको हो।,होलै आइल आयरांडा-paying-ko-सांगोरको हो।,होलै आइल आयरांडा paying ko सांगोरको हो,19,2.234,,,2026-08-13T07:22:36.444525,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,0.875,0.625,1,6,1,0,8,7,17,19,4,2,40,25,7,0.875,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L1_a,L1,plain_instruction,2b888ddda7917baf9e2bc9c825461b0bd3d26c001bd6d476af6f3897deefed16,"You are a speech transcription system. Transcribe the following Nepali audio into Nepali text using Devanagari script. Produce a verbatim transcription. Do not translate. Return only the transcription, nothing else.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,"अन्तिम गरिमा एक एक गरिमाara, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी","अन्तिम गरिमा एक एक गरिमाara, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी",अन्तिम गरिमा एक एक गरिमाara देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी,256,24.284,,,2026-08-13T07:22:38.679400,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,5.25,4.166666666666667,3,13,0,71,16,84,37,59,0,341,96,400,87,5.4375,4.4375,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L1_b,L1,structured_instruction,90140043971620d1f647d8479139bcce48c2e3079c86e8a5530c894c4b5c8315,"Task: verbatim Nepali speech transcription.
Language: Nepali (Devanagari script).
Transcribe exactly what is spoken. Do not translate. Output only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अन्तिम गरिमा एक एक गरिमाara देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी,अन्तिम गरिमा एक एक गरिमाara देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी,अन्तिम गरिमा एक एक गरिमाara देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी,256,24.543,,,2026-08-13T07:23:02.965113,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,7.8125,6.302083333333333,3,13,0,112,16,125,37,59,0,546,96,605,128,8.0,7.0,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L1_c,L1,compact_instruction,33ddc847dc650e0134461f42468ad735602cc3c14a7b7463c90a7a0d9832b9d4,"Listen to the audio and write the exact Nepali words spoken in Devanagari. Do not translate, explain, or add anything. Return only the transcript.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,"अन्तिम गरिमा एक एक गरिमाara, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी","अन्तिम गरिमा एक एक गरिमाara, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी, देशी",अन्तिम गरिमा एक एक गरिमाara देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी देशी,256,24.544,,,2026-08-13T07:23:27.509816,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,5.25,4.166666666666667,3,13,0,71,16,84,37,59,0,341,96,400,87,5.4375,4.4375,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L1_a,L1,plain_instruction,2b888ddda7917baf9e2bc9c825461b0bd3d26c001bd6d476af6f3897deefed16,"You are a speech transcription system. Transcribe the following Nepali audio into Nepali text using Devanagari script. Produce a verbatim transcription. Do not translate. Return only the transcription, nothing else.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,"Vikasit, Vayan.","Vikasit, Vayan.",vikasit vayan,8,1.408,,,2026-08-13T07:23:52.055165,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,1.0909090909090908,0,2,0,0,2,2,1,10,0,2,11,12,2,1.0,0.0,False,False,False,False,,True,False,False,True,False,,,,
