model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यूनानी, स्वीडन, न्यूजीलैंड, द्वारा मिलान, कोरिया, कुराता, तरारा, अन्यता, इक्टम, अद्वितीय तथा उत्तरार्ध, नेतालाई मानक एकत्रित इतिहास तथा","यूनानी, स्वीडन, न्यूजीलैंड, द्वारा मिलान, कोरिया, कुराता, तरारा, अन्यता, इक्टम, अद्वितीय तथा उत्तरार्ध, नेतालाई मानक एकत्रित इतिहास तथा",यूनानी स्वीडन न्यूजीलैंड द्वारा मिलान कोरिया कुराता तरारा अन्यता इक्टम अद्वितीय तथा उत्तरार्ध नेतालाई मानक एकत्रित इतिहास तथा,133,10.984,,,2026-08-13T18:37:08.114021,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,0.9,0.552,2,16,2,0,20,18,70,41,14,14,125,69,18,0.9,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,यो नेपाल र स्वीडेन र न्यूजीलैंड द्वारा मिलान गोरिये कुत्रा तरौ अन्यता इक्टम अवित्याता उत्तरार्ह नेतालाई मानक इक्टम इतिहास चाहिए।,यो नेपाल र स्वीडेन र न्यूजीलैंड द्वारा मिलान गोरिये कुत्रा तरौ अन्यता इक्टम अवित्याता उत्तरार्ह नेतालाई मानक इक्टम इतिहास चाहिए।,यो नेपाल र स्वीडेन र न्यूजीलैंड द्वारा मिलान गोरिये कुत्रा तरौ अन्यता इक्टम अवित्याता उत्तरार्ह नेतालाई मानक इक्टम इतिहास चाहिए,127,10.542,,,2026-08-13T18:37:19.098885,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,0.95,0.536,3,15,2,2,20,19,71,43,11,13,125,67,20,1.0,0.1,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यूनानी, स्वीडन, न्यूजीलैंड, द्वारा मिलान, कोरिया, कुरान, तरार, अन्यता, इक्टोम, अद्वितीय, तरा, उत्तरार्ध, नेतालैंड, मांग, इक्टोम, इटाली, समाज, तरा,","यूनानी, स्वीडन, न्यूजीलैंड, द्वारा मिलान, कोरिया, कुरान, तरार, अन्यता, इक्टोम, अद्वितीय, तरा, उत्तरार्ध, नेतालैंड, मांग, इक्टोम, इटाली, समाज, तरा,",यूनानी स्वीडन न्यूजीलैंड द्वारा मिलान कोरिया कुरान तरार अन्यता इक्टोम अद्वितीय तरा उत्तरार्ध नेतालैंड मांग इक्टोम इटाली समाज तरा,145,11.399,,,2026-08-13T18:37:29.641463,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,0.9,0.552,2,17,1,0,20,18,71,42,12,15,125,69,19,0.95,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,यो आयर इरानले पनि सूचीको सनागरीको हो।,यो आयर इरानले पनि सूचीको सनागरीको हो।,यो आयर इरानले पनि सूचीको सनागरीको हो,35,3.355,,,2026-08-13T18:37:41.041310,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,0.625,0.375,3,4,1,0,8,5,25,11,4,0,40,15,7,0.875,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,यो आर यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो य,यो आर यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो य,यो आर यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो यो य,1024,68.62,,,2026-08-13T18:37:44.397117,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,42.75,25.325,0,8,0,334,8,342,11,29,0,984,40,1013,342,42.75,41.75,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,यो आर यो इरान ले पनि सूर्यको सनागरीको हो।,यो आर यो इरान ले पनि सूर्यको सनागरीको हो।,यो आर यो इरान ले पनि सूर्यको सनागरीको हो,39,3.562,,,2026-08-13T18:38:53.018985,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,1.0,0.475,2,5,1,2,8,8,23,15,2,2,40,19,9,1.125,0.25,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अंतिम घडी मा एक एक घडी र सारा दिसे उसका सामने आई रहकाती र सोच्दा सोच्दा यो गुरुल्कीरणी दाइते।,अंतिम घडी मा एक एक घडी र सारा दिसे उसका सामने आई रहकाती र सोच्दा सोच्दा यो गुरुल्कीरणी दाइते।,अंतिम घडी मा एक एक घडी र सारा दिसे उसका सामने आई रहकाती र सोच्दा सोच्दा यो गुरुल्कीरणी दाइते,89,7.213,,,2026-08-13T18:38:56.582318,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,0.875,0.3645833333333333,5,11,0,3,16,14,67,19,10,6,96,35,19,1.1875,0.1875,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,एक गरी र सारा दिसे उसका सामने आई रहकार थिए त्यसै रास्तो देखिए यो गुरुले किये रनी देखिए।,एक गरी र सारा दिसे उसका सामने आई रहकार थिए त्यसै रास्तो देखिए यो गुरुले किये रनी देखिए।,एक गरी र सारा दिसे उसका सामने आई रहकार थिए त्यसै रास्तो देखिए यो गुरुले किये रनी देखिए,86,7.171,,,2026-08-13T18:39:03.797318,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,1.0,0.6145833333333334,4,10,2,4,16,16,51,21,24,14,96,59,18,1.125,0.25,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,निम्नलिखित वाक्यांश निर्माण गर्दैन: 'अंतिम घडीमा एक एक घडी र सारा दिसे उसका सामने आई रहकार थियो। र सोच्दा सोच्दा यो गुरुलकीर्तन निदाय थियो।',निम्नलिखित वाक्यांश निर्माण गर्दैन: 'अंतिम घडीमा एक एक घडी र सारा दिसे उसका सामने आई रहकार थियो। र सोच्दा सोच्दा यो गुरुलकीर्तन निदाय थियो।',निम्नलिखित वाक्यांश निर्माण गर्दैन अंतिम घडीमा एक एक घडी र सारा दिसे उसका सामने आई रहकार थियो र सोच्दा सोच्दा यो गुरुलकीर्तन निदाय थियो,137,10.304,,,2026-08-13T18:39:10.968879,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,1.125,0.7291666666666666,6,10,0,8,16,18,71,19,6,45,96,70,24,1.5,0.5,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासी व्यायाम,विकासी व्यायाम,विकासी व्यायाम,15,2.132,,,2026-08-13T18:39:21.274260,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,0.9090909090909091,0,2,0,0,2,2,4,7,0,3,11,10,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासी व्यायाम,विकासी व्यायाम,विकासी व्यायाम,15,2.072,,,2026-08-13T18:39:23.406819,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,0.9090909090909091,0,2,0,0,2,2,4,7,0,3,11,10,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासी व्यायांनी,विकासी व्यायांनी,विकासी व्यायांनी,17,2.046,,,2026-08-13T18:39:25.480250,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,1.0,0,2,0,0,2,2,5,6,0,5,11,11,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
