prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,19,19,1.0,0.0,0.0,1.4340425531914893,1.0121049092131809,1.4456095117472827,1.3333333333333333,1.0723252578921727,0.21052631578947367,0.0,0.15789473684210525,0.3157894736842105,1.4870684210526317,4.932421052631579,235,337
L0,codeswitched,19,19,1.0,0.0,0.0,1.3246753246753247,0.9901247401247402,1.3500550616415892,1.391304347826087,1.005938112397739,0.10526315789473684,0.0,0.05263157894736842,0.2631578947368421,1.3839105263157894,6.051,308,408
L0,noisy,19,19,1.0,0.0,0.0,1.6666666666666667,0.9396103896103896,2.018990870633084,1.6666666666666667,1.3430791571996525,0.5263157894736842,0.0,0.15789473684210525,0.5263157894736842,2.0011947368421055,6.127157894736842,222,370
L1,clean,19,19,1.0,0.0,0.0,0.9404255319148936,0.4633490248823134,0.9245780406384121,1.0,0.5029579177551755,0.0,0.0,0.0,1.0,1.0520526315789471,6.543368421052632,235,221
L1,codeswitched,19,19,1.0,0.0,0.0,1.2077922077922079,0.8685031185031185,1.1022228069582498,0.8571428571428571,0.7083228749799795,0.05263157894736842,0.0,0.0,0.0,1.2265684210526315,11.12657894736842,308,372
L1,noisy,19,19,1.0,0.0,0.0,2.5135135135135136,1.5616883116883118,4.601708738868854,1.2,3.470073348955776,0.10526315789473684,0.0,0.0,1.0,4.75821052631579,13.281789473684212,222,558
L2,clean,19,19,1.0,0.0,0.0,0.9617021276595744,0.48890383322125086,0.9616563132430004,1.0,0.5199315416430115,0.0,0.0,0.0,0.9473684210526315,1.1110999999999998,6.286736842105263,235,226
L2,codeswitched,19,19,1.0,0.0,0.0,1.4610389610389611,0.920997920997921,1.39976964418883,0.8571428571428571,0.8403530238229253,0.05263157894736842,0.0,0.0,0.05263157894736842,1.554363157894737,10.700157894736842,308,450
L2,noisy,19,19,1.0,0.0,0.0,1.1261261261261262,0.4818181818181818,1.1074589695164467,1.0869565217391304,0.47288851045875163,0.05263157894736842,0.0,0.0,0.8947368421052632,1.2807631578947367,6.426947368421052,222,250
L3,clean,19,19,1.0,0.0,0.0,1.5319148936170213,1.1149966375252185,1.4779905981531367,0.95,1.1964611997258356,0.10526315789473684,0.0,0.0,1.0,1.6206631578947368,11.451421052631577,235,360
L3,codeswitched,19,19,1.0,0.0,0.0,2.5,0.9776507276507277,2.2567464784957045,0.8571428571428571,0.9923814788261256,0.05263157894736842,0.0,0.0,0.10526315789473684,2.4058842105263163,12.73921052631579,308,770
L3,noisy,19,19,1.0,0.0,0.0,1.0360360360360361,0.461038961038961,1.125274738908808,1.0,0.625312043423622,0.05263157894736842,0.0,0.0,1.0,1.2984684210526318,8.404894736842106,222,230
L4,clean,19,19,1.0,0.0,0.0,0.9191489361702128,0.43644922663080027,0.8856691639973373,1.0,0.43908574633247344,0.0,0.0,0.0,1.0,1.0613473684210526,11.338052631578947,235,216
L4,codeswitched,19,19,1.0,0.0,0.0,2.470779220779221,0.9579002079002079,2.241754174908917,0.8888888888888888,0.9929372020978261,0.05263157894736842,0.0,0.0,0.0,2.350621052631579,16.359052631578948,308,761
L4,noisy,19,19,1.0,0.0,0.0,0.990990990990991,0.36623376623376624,0.9599696539308196,1.0,0.380971072659094,0.0,0.0,0.0,1.0,1.1093263157894737,11.652473684210527,222,220
