model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,एकै मेट्रिक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक कर,एकै मेट्रिक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक कर,एकै मेट्रिक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक करमक कर,256,28.524,,,2026-08-12T20:35:02.266222,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,5.733333333333333,3.8823529411764706,0,15,0,71,15,86,33,69,0,327,102,396,86,5.7333,4.7333,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,सुनैतिक हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ।,सुनैतिक हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ।,सुनैतिक हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ,28,5.623,,,2026-08-12T20:35:30.791865,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,3.3333333333333335,1.96,0,3,0,7,3,10,11,14,0,35,25,49,10,3.3333,2.3333,False,False,False,True,length_ratio>2.5|insertion_rate>1.0,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr43_007_abf4cda1d0.wav,audio/clean_slr43_007_abf4cda1d0.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_007_abf4cda1d0.wav,clean,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,success,कति मेसेज हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस् भनाइँ।,कति मेसेज हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस् भनाइँ।,कति मेसेज हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस् भनाइँ,31,6.54,,,2026-08-12T20:35:36.416374,clean,slr43_007_abf4cda1d0.wav,slr43,12.162688,12.162688,12-15,ok,1.0,0.8070175438596491,0,11,5,0,16,16,23,40,51,1,114,92,11,0.6875,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_014_28ed6f5044.wav,audio/clean_common_voice_014_28ed6f5044.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_014_28ed6f5044.wav,clean,बिश्वकप ट्रफी त पनौती हो की के हो?,बिश्वकप ट्रफी त पनौती हो की के हो,बिश्वकप ट्रफी त पनौती हो की के हो,success,बिसो कप ट्रफी टाप्नो ति ओ किगे।,बिसो कप ट्रफी टाप्नो ति ओ किगे।,बिसो कप ट्रफी टाप्नो ति ओ किगे,19,4.941,,,2026-08-12T20:35:42.957237,clean,common_voice_014_28ed6f5044.wav,common_voice,4.176,4.176,3-5,ok,1.0,0.5151515151515151,1,5,2,1,8,8,18,10,5,2,33,17,7,0.875,0.125,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_052_6507befbb7.wav,audio/clean_fleurs_052_6507befbb7.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_052_6507befbb7.wav,clean,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,success,एक चासा बसको माला लगाएर थरथरीका मीठा मीठा खाने खाने के लिए गाई पूजा गरिन्छ।,एक चासा बसको माला लगाएर थरथरीका मीठा मीठा खाने खाने के लिए गाई पूजा गरिन्छ।,एक चासा बसको माला लगाएर थरथरीका मीठा मीठा खाने खाने के लिए गाई पूजा गरिन्छ,32,6.639,,,2026-08-12T20:35:47.899727,clean,fleurs_052_6507befbb7.wav,fleurs,14.1,14.1,12-15,ok,0.9375,0.768361581920904,2,13,17,0,32,30,41,33,103,0,177,136,15,0.4688,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_029_def41e18d7.wav,audio/clean_slr54_029_def41e18d7.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_029_def41e18d7.wav,clean,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,success,"गोरायती काउंतराश्टुयुसे, यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइँ।","गोरायती काउंतराश्टुयुसे, यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइँ।",गोरायती काउंतराश्टुयुसे यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइँ,34,6.398,,,2026-08-12T20:35:54.540011,clean,slr54_029_def41e18d7.wav,slr54,5.8,5.8,5-8,ok,3.0,1.3714285714285714,0,3,0,6,3,9,15,20,0,28,35,48,9,3.0,2.0,False,False,False,True,length_ratio>2.5|insertion_rate>1.0,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr43_002_88524b17d9.wav,audio/clean_slr43_002_88524b17d9.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_002_88524b17d9.wav,clean,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,success,"rosmiri के चन्द्रा को फुसलने के लिए हेरोस बिचराले, यसो वीडियो हेरेर मुड फ्रेश बनावो।","rosmiri के चन्द्रा को फुसलने के लिए हेरोस बिचराले, यसो वीडियो हेरेर मुड फ्रेश बनावो।",rosmiri के चन्द्रा को फुसलने के लिए हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावो,37,6.595,,,2026-08-12T20:36:00.939064,clean,slr43_002_88524b17d9.wav,slr43,8.945313,8.945313,8-12,ok,1.0,0.7766990291262136,0,15,2,0,17,17,27,51,25,4,103,80,15,0.8824,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_012_bbd8cc71ed.wav,audio/clean_slr143_012_bbd8cc71ed.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_012_bbd8cc71ed.wav,clean,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।",उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,success,उसले बाइनी लाइ राके रबानी हो बाइनीime ले पर्नु पानी पर्सा।,उसले बाइनी लाइ राके रबानी हो बाइनीime ले पर्नु पानी पर्सा।,उसले बाइनी लाइ राके रबानी हो बाइनीime ले पर्नु पानी पर्सा,30,5.92,,,2026-08-12T20:36:07.535724,clean,slr143_012_bbd8cc71ed.wav,slr143,5.184063,5.184063,5-8,ok,1.1111111111111112,0.45098039215686275,1,8,0,2,9,10,35,15,1,7,51,23,11,1.2222,0.2222,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_003_34ea2908fc.wav,audio/clean_common_voice_003_34ea2908fc.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_003_34ea2908fc.wav,clean,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ?,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,success,"कौन फीले मेटा हेरोस बिचराले, यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ।","कौन फीले मेटा हेरोस बिचराले, यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ।",कौन फीले मेटा हेरोस बिचराले यसो वीडियो हेरेर मुड फ्रेश बनावोस भनाइ,33,6.038,,,2026-08-12T20:36:13.457883,clean,common_voice_003_34ea2908fc.wav,common_voice,3.78,3.78,3-5,ok,2.0,1.3428571428571427,0,6,0,6,6,12,19,16,0,31,35,47,12,2.0,1.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,noisy:audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,L4_a,L4,3shot_from_L2_b,6027e161f133e998121068df1b7d47b93cc922ac370847c14a27d26963f2b516,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",3,"['clean:audio/clean_slr143_002_577615770e.wav', 'codeswitched:audio/codeswitched_fleurs_061_a99e8c435b61.wav', 'noisy:audio/noisy_noisy_031_common_voice_009_8de382dd93_noise_10db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,noisy,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,success,"दु rhetorical question, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen","दु rhetorical question, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen, जørgen",दु rhetorical question जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen जørgen,256,28.425,,,2026-08-12T20:36:19.497719,noisy,audio/noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,fleurs,12.42,12.42,12-15,ok,2.5384615384615383,2.8926174496644297,0,26,0,40,26,66,32,117,0,314,149,431,66,2.5385,1.5385,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,True,True,noise,15.0,,
