model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,La disputa territorial ha mantenido a Armenia y a Azerbaiyán en conflicto continuo.,La disputa territorial ha mantenido a Armenia y a Azerbaiyán en conflicto continuo.,la disputa territorial ha mantenido a armenia y a azerbaiyán en conflicto continuo,20,3.202,,,2026-08-12T21:40:00.411190,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,1.0,0.8921568627450981,0,13,2,0,15,15,11,71,20,0,102,91,13,0.8667,0.0,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,Sambandan Sabhapathy,Sambandan Sabhapathy,sambandan sabhapathy,8,2.539,,,2026-08-12T21:40:03.614721,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,1.0,0.96,0,2,1,0,3,3,1,19,5,0,25,24,2,0.6667,0.0,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr143_002_577615770e.wav,audio/clean_slr143_002_577615770e.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_002_577615770e.wav,clean,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ।,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,success,"Por eso, en este día, se le pone una correa de flores al animal y se le da de comer dulces para que el animal se ofrezca.","Por eso, en este día, se le pone una correa de flores al animal y se le da de comer dulces para que el animal se ofrezca.",por eso en este día se le pone una correa de flores al animal y se le da de comer dulces para que el animal se ofrezca,35,3.864,,,2026-08-12T21:40:06.155294,clean,slr143_002_577615770e.wav,slr143,7.5,7.5,5-8,ok,1.588235294117647,1.1444444444444444,0,17,0,10,17,27,15,75,0,28,90,103,27,1.5882,0.5882,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr43_007_abf4cda1d0.wav,audio/clean_slr43_007_abf4cda1d0.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_007_abf4cda1d0.wav,clean,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,success,"Kamala Mai and Gaighat in Sindhuli have a similar history of being ruled by the Triyuga. The Katari, Ghurmi and Bhimaan markets are also part of this context.","Kamala Mai and Gaighat in Sindhuli have a similar history of being ruled by the Triyuga. The Katari, Ghurmi and Bhimaan markets are also part of this context.",kamala mai and gaighat in sindhuli have a similar history of being ruled by the triyuga the katari ghurmi and bhimaan markets are also part of this context,45,4.406,,,2026-08-12T21:40:10.020178,clean,slr43_007_abf4cda1d0.wav,slr43,12.162688,12.162688,12-15,ok,1.75,1.236842105263158,0,16,0,12,16,28,14,100,0,41,114,141,28,1.75,0.75,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_common_voice_014_28ed6f5044.wav,audio/clean_common_voice_014_28ed6f5044.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_014_28ed6f5044.wav,clean,बिश्वकप ट्रफी त पनौती हो की के हो?,बिश्वकप ट्रफी त पनौती हो की के हो,बिश्वकप ट्रफी त पनौती हो की के हो,success,Kikuyu is the language spoken by the Kikuyu people.,Kikuyu is the language spoken by the Kikuyu people.,kikuyu is the language spoken by the kikuyu people,17,3.004,,,2026-08-12T21:40:14.427285,clean,common_voice_014_28ed6f5044.wav,common_voice,4.176,4.176,3-5,ok,1.125,1.3333333333333333,0,8,0,1,8,9,6,27,0,17,33,44,9,1.125,0.125,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_fleurs_052_6507befbb7.wav,audio/clean_fleurs_052_6507befbb7.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_052_6507befbb7.wav,clean,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,success,"El poder central de la conversación ha estado en Roma durante más de mil años, y la combinación de poder y dinero ha llevado a muchos a preguntarse si el sistema está llegando a su fin.","El poder central de la conversación ha estado en Roma durante más de mil años, y la combinación de poder y dinero ha llevado a muchos a preguntarse si el sistema está llegando a su fin.",el poder central de la conversación ha estado en roma durante más de mil años y la combinación de poder y dinero ha llevado a muchos a preguntarse si el sistema está llegando a su fin,40,4.175,,,2026-08-12T21:40:17.432914,clean,fleurs_052_6507befbb7.wav,fleurs,14.1,14.1,12-15,ok,1.125,0.943502824858757,0,32,0,4,32,36,18,157,2,8,177,167,36,1.125,0.125,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr54_029_def41e18d7.wav,audio/clean_slr54_029_def41e18d7.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_029_def41e18d7.wav,clean,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,success,Garaika Antarrashtriya Shram Sanghathana,Garaika Antarrashtriya Shram Sanghathana,garaika antarrashtriya shram sanghathana,15,2.904,,,2026-08-12T21:40:21.609116,clean,slr54_029_def41e18d7.wav,slr54,5.8,5.8,5-8,ok,1.3333333333333333,1.1142857142857143,0,3,0,1,3,4,2,32,1,6,35,39,4,1.3333,0.3333,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr43_002_88524b17d9.wav,audio/clean_slr43_002_88524b17d9.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_002_88524b17d9.wav,clean,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,success,"Por encima de las expectativas, los empleados de la cocina y el café de Rosemary han recibido un aumento salarial.","Por encima de las expectativas, los empleados de la cocina y el café de Rosemary han recibido un aumento salarial.",por encima de las expectativas los empleados de la cocina y el café de rosemary han recibido un aumento salarial,26,3.432,,,2026-08-12T21:40:24.514073,clean,slr43_002_88524b17d9.wav,slr43,8.945313,8.945313,8-12,ok,1.1764705882352942,1.0097087378640777,0,17,0,3,17,20,8,95,0,9,103,104,20,1.1765,0.1765,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr143_012_bbd8cc71ed.wav,audio/clean_slr143_012_bbd8cc71ed.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_012_bbd8cc71ed.wav,clean,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।",उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,success,"Él a dit à sa femme: «Ma femme, tu dois aussi apprendre».","Él a dit à sa femme: «Ma femme, tu dois aussi apprendre».",él a dit à sa femme ma femme tu dois aussi apprendre,17,3.021,,,2026-08-12T21:40:27.947403,clean,slr143_012_bbd8cc71ed.wav,slr143,5.184063,5.184063,5-8,ok,1.3333333333333333,0.9411764705882353,0,9,0,3,9,12,6,43,2,3,51,48,12,1.3333,0.3333,False,False,False,False,,True,False,False,True,False,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_common_voice_003_34ea2908fc.wav,audio/clean_common_voice_003_34ea2908fc.wav,L0_a,L0,minimal_control,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,Transcribe the following speech segment in its original language. Only output the transcription.,0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_003_34ea2908fc.wav,clean,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ?,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,success,Which fly would you like to have?,Which fly would you like to have?,which fly would you like to have,9,2.591,,,2026-08-12T21:40:30.969813,clean,common_voice_003_34ea2908fc.wav,common_voice,3.78,3.78,3-5,ok,1.1666666666666667,0.9142857142857143,0,6,0,1,6,7,3,29,3,0,35,32,7,1.1667,0.1667,False,False,False,False,,True,False,False,True,False,,,,
