model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यू नोर्वे, स्वीडन और न्यूजीलैंड द्वारा, मिलान कर दिए गए कुछ था। द्वारा अन्यथा एकदम अद्वितीय था। उदाहरण नेदरलैंड में, अंक एक तिथी चालीस समचा।","यू नोर्वे, स्वीडन और न्यूजीलैंड द्वारा, मिलान कर दिए गए कुछ था। द्वारा अन्यथा एकदम अद्वितीय था। उदाहरण नेदरलैंड में, अंक एक तिथी चालीस समचा।",यू नोर्वे स्वीडन और न्यूजीलैंड द्वारा मिलान कर दिए गए कुछ था द्वारा अन्यथा एकदम अद्वितीय था उदाहरण नेदरलैंड में अंक एक तिथी चालीस समचा,40,21.031,,,2026-08-13T19:08:07.788559,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,0.95,0.384,6,14,0,5,20,19,93,25,7,16,125,48,25,1.25,0.25,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,29,15.952,,,2026-08-13T19:08:28.821228,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,1.375,1.625,0,8,0,3,8,11,14,26,0,39,40,65,11,1.375,0.375,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अन्तिम घड़ी मा एक एक गारे र सारा अदीश्य उसका सामुन्य आई रहेका थिए। रसोस दा सोसते उगुदुल किए रनिदाए था।,अन्तिम घड़ी मा एक एक गारे र सारा अदीश्य उसका सामुन्य आई रहेका थिए। रसोस दा सोसते उगुदुल किए रनिदाए था।,अन्तिम घड़ी मा एक एक गारे र सारा अदीश्य उसका सामुन्य आई रहेका थिए रसोस दा सोसते उगुदुल किए रनिदाए था,43,19.289,,,2026-08-13T19:08:44.775097,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,0.9375,0.2916666666666667,6,10,0,5,16,15,78,12,6,10,96,28,21,1.3125,0.3125,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,29,16.247,,,2026-08-13T19:09:04.065549,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,5.5,6.545454545454546,0,2,0,9,2,11,7,4,0,68,11,72,11,5.5,4.5,False,False,False,True,length_ratio>2.5|insertion_rate>1.0,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_fleurs_053_3aa6b579c0.wav,audio/clean_fleurs_053_3aa6b579c0.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_053_3aa6b579c0.wav,clean,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन्। यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन्। यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,30,18.858,,,2026-08-13T19:09:20.314172,clean,fleurs_053_3aa6b579c0.wav,fleurs,13.86,13.86,12-15,ok,1.0,0.7636363636363637,0,11,4,0,15,15,30,45,35,4,110,84,11,0.7333,0.0,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_common_voice_040_5a66d81a7d.wav,audio/clean_common_voice_040_5a66d81a7d.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_040_5a66d81a7d.wav,clean,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ ।,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,29,16.088,,,2026-08-13T19:09:39.173620,clean,common_voice_040_5a66d81a7d.wav,common_voice,5.616,5.616,5-8,ok,1.0,0.8108108108108109,0,11,2,0,13,13,25,43,6,11,74,60,11,0.8462,0.0,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_slr54_030_6306fbdefd.wav,audio/clean_slr54_030_6306fbdefd.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_030_6306fbdefd.wav,clean,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,29,15.979,,,2026-08-13T19:09:55.263110,clean,slr54_030_6306fbdefd.wav,slr54,4.2,4.2,3-5,ok,3.6666666666666665,4.4375,0,3,0,8,3,11,8,8,0,63,16,71,11,3.6667,2.6667,False,False,False,True,length_ratio>2.5|insertion_rate>1.0,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_slr143_006_bb858103a0.wav,audio/clean_slr143_006_bb858103a0.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_006_bb858103a0.wav,clean,"निर्ममतासँग पृथ्वीलाई यसले आबद्‌ गरेको छ, त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी : तीन परिचय दिन्छन्‌ ।",निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,success,निर्म्मता सङ्घ अप्रिथि विलाई इसले आबद्द गारे कुछा। तेसमा गोडा राखे भनिये दुमसी कुकाडा उम्रे को जस्तो अंग अंग का टिक्ष्णा अङ्करले बरबरता को साननाइनी तीन परिचाय दिन छन।,निर्म्मता सङ्घ अप्रिथि विलाई इसले आबद्द गारे कुछा। तेसमा गोडा राखे भनिये दुमसी कुकाडा उम्रे को जस्तो अंग अंग का टिक्ष्णा अङ्करले बरबरता को साननाइनी तीन परिचाय दिन छन।,निर्म्मता सङ्घ अप्रिथि विलाई इसले आबद्द गारे कुछा तेसमा गोडा राखे भनिये दुमसी कुकाडा उम्रे को जस्तो अंग अंग का टिक्ष्णा अङ्करले बरबरता को साननाइनी तीन परिचाय दिन छन,70,24.97,,,2026-08-13T19:10:11.243648,clean,slr143_006_bb858103a0.wav,slr143,12.260188,12.260188,12-15,ok,1.1818181818181819,0.3141025641025641,3,19,0,7,22,26,125,21,10,18,156,49,29,1.3182,0.3182,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_slr43_028_253c4c05c1.wav,audio/clean_slr43_028_253c4c05c1.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr43_028_253c4c05c1.wav,clean,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,success,न्यू बेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिका कलागी चाहिएन धेरै वस्तुहरू पाइन्छ।,न्यू बेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिका कलागी चाहिएन धेरै वस्तुहरू पाइन्छ।,न्यू बेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिका कलागी चाहिएन धेरै वस्तुहरू पाइन्छ,35,18.138,,,2026-08-13T19:10:36.215369,clean,slr43_028_253c4c05c1.wav,slr43,8.68,8.68,8-12,ok,0.35294117647058826,0.07627118644067797,11,6,0,0,17,6,111,4,3,2,118,9,17,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
google/gemma-4-12B-it,main,707f0a3b8a3c7ad586ed01e27eafbad8a27dd0f7,clean:audio/clean_common_voice_045_e5d1ae59c5.wav,audio/clean_common_voice_045_e5d1ae59c5.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_045_e5d1ae59c5.wav,clean,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है ।,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,29,16.892,,,2026-08-13T19:10:54.354932,clean,common_voice_045_e5d1ae59c5.wav,common_voice,6.696,6.696,5-8,ok,1.2222222222222223,1.5116279069767442,0,9,0,2,9,11,14,29,0,36,43,65,11,1.2222,0.2222,False,False,False,False,,True,False,True,False,True,,,,
