model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,यु नोरウェイ स्वेदन न्यूज़ीलैंड दोरा मीलान गोरियेकुटा दोरा अनीटा इकदम औडिटीटा यूडाहरन नीडरलेम माने अनीटा इकदम इतालिसमाथा,यु नोरウェイ स्वेदन न्यूज़ीलैंड दोरा मीलान गोरियेकुटा दोरा अनीटा इकदम औडिटीटा यूडाहरन नीडरलेम माने अनीटा इकदम इतालिसमाथा,यु नोरウェイ स्वेदन न्यूज़ीलैंड दोरा मीलान गोरियेकुटा दोरा अनीटा इकदम औडिटीटा यूडाहरन नीडरलेम माने अनीटा इकदम इतालिसमाथा,62,8.668,,,2026-08-13T08:01:43.951094,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,1.0,0.584,0,17,3,0,20,20,62,45,18,10,125,73,17,0.85,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,ओइल एयर इरांडेपनि सोई को सन्नगरे कोहो।,ओइल एयर इरांडेपनि सोई को सन्नगरे कोहो।,ओइल एयर इरांडेपनि सोई को सन्नगरे कोहो,21,3.449,,,2026-08-13T08:01:52.620481,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,1.0,0.475,0,7,1,0,8,8,23,12,5,2,40,19,7,0.875,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अन्तिम गारिमा एक एक गारिर ASA डिसिसे उस्कासमने आयराही काथी र सुसद सुसद उगुल कि रानिदाई।,अन्तिम गारिमा एक एक गारिर ASA डिसिसे उस्कासमने आयराही काथी र सुसद सुसद उगुल कि रानिदाई।,अन्तिम गारिमा एक एक गारिर asa डिसिसे उस्कासमने आयराही काथी र सुसद सुसद उगुल कि रानिदाई,43,5.969,,,2026-08-13T08:01:56.071425,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,0.8125,0.4895833333333333,3,13,0,0,16,13,54,27,15,5,96,47,16,1.0,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासित होइने।,विकासित होइने।,विकासित होइने,9,2.161,,,2026-08-13T08:02:02.042136,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,0.36363636363636365,0,2,0,0,2,2,9,2,0,2,11,4,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_053_3aa6b579c0.wav,audio/clean_fleurs_053_3aa6b579c0.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_053_3aa6b579c0.wav,clean,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,success,उद्‌कीरिहोलले मोतादत पोरिसे प्रामारित गोरपोशी मोतादतले कंले मोतादतले कंले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले,उद्‌कीरिहोलले मोतादत पोरिसे प्रामारित गोरपोशी मोतादतले कंले मोतादतले कंले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले,उद्‌कीरिहोलले मोतादत पोरिसे प्रामारित गोरपोशी मोतादतले कंले मोतादतले कंले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले मोतादतले,256,29.354,,,2026-08-13T08:02:04.204916,clean,fleurs_053_3aa6b579c0.wav,fleurs,13.86,13.86,12-15,ok,3.466666666666667,3.609090909090909,0,15,0,37,15,52,65,43,2,352,110,397,52,3.4667,2.4667,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_040_5a66d81a7d.wav,audio/clean_common_voice_040_5a66d81a7d.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_040_5a66d81a7d.wav,clean,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ ।,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,success,फिल्म ह्य एउनेले केकाले लिगी ट्रिपी सपाइगै होननवाँ नपुश्नको हुमै।,फिल्म ह्य एउनेले केकाले लिगी ट्रिपी सपाइगै होननवाँ नपुश्नको हुमै।,फिल्म ह्य एउनेले केकाले लिगी ट्रिपी सपाइगै होननवाँ नपुश्नको हुमै,38,5.297,,,2026-08-13T08:02:33.561068,clean,common_voice_040_5a66d81a7d.wav,common_voice,5.616,5.616,5-8,ok,0.9230769230769231,0.5540540540540541,1,9,3,0,13,12,36,25,13,3,74,41,10,0.7692,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_030_6306fbdefd.wav,audio/clean_slr54_030_6306fbdefd.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_030_6306fbdefd.wav,clean,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,success,शुद कर्टा पनीतिया,शुद कर्टा पनीतिया,शुद कर्टा पनीतिया,10,2.281,,,2026-08-13T08:02:38.859407,clean,slr54_030_6306fbdefd.wav,slr54,4.2,4.2,3-5,ok,1.0,0.5625,0,3,0,0,3,3,8,8,0,1,16,9,3,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_006_bb858103a0.wav,audio/clean_slr143_006_bb858103a0.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_006_bb858103a0.wav,clean,"निर्ममतासँग पृथ्वीलाई यसले आबद्‌ गरेको छ, त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी : तीन परिचय दिन्छन्‌ ।",निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,success,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,256,29.177,,,2026-08-13T08:02:41.142243,clean,slr143_006_bb858103a0.wav,slr143,12.260188,12.260188,12-15,ok,3.8636363636363638,2.4935897435897436,0,22,0,63,22,85,38,117,1,271,156,389,85,3.8636,2.8636,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr43_028_253c4c05c1.wav,audio/clean_slr43_028_253c4c05c1.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr43_028_253c4c05c1.wav,clean,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,success,new variety books and stationery मपुस्तक ताथा अनी स्याही सिक्सम ग्रिका साथे बबलिके कलागे चहिं देरे बोस्टु हुरुपैँचो,new variety books and stationery मपुस्तक ताथा अनी स्याही सिक्सम ग्रिका साथे बबलिके कलागे चहिं देरे बोस्टु हुरुपैँचो,new variety books and stationery मपुस्तक ताथा अनी स्याही सिक्सम ग्रिका साथे बबलिके कलागे चहिं देरे बोस्टु हुरुपैँचो,50,6.834,,,2026-08-13T08:03:10.321461,clean,slr43_028_253c4c05c1.wav,slr43,8.68,8.68,8-12,ok,1.0588235294117647,0.6016949152542372,0,17,0,1,17,18,56,50,12,9,118,71,18,1.0588,0.0588,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_045_e5d1ae59c5.wav,audio/clean_common_voice_045_e5d1ae59c5.wav,L3_a,L3,1shot_from_L2_c,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_045_e5d1ae59c5.wav,clean,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है ।,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,success,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक दिए।,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक दिए।,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक दिए,39,5.503,,,2026-08-13T08:03:17.156627,clean,common_voice_045_e5d1ae59c5.wav,common_voice,6.696,6.696,5-8,ok,1.3333333333333333,1.6511627906976745,0,9,0,3,9,12,19,24,0,47,43,71,12,1.3333,0.3333,False,False,False,False,,True,False,True,False,True,,,,
