model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यो नरवे, स्विडेन र न्यूजिलानद्वारा मिलान गरिएको छ तर अन्यता एकदम अद्वितीय छ। उदाहरण नेधरलान्डमा अङ्क 1 देखि 40 सम्म छ।","यो नरवे, स्विडेन र न्यूजिलानद्वारा मिलान गरिएको छ तर अन्यता एकदम अद्वितीय छ। उदाहरण नेधरलान्डमा अङ्क 1 देखि 40 सम्म छ।",यो नरवे स्विडेन र न्यूजिलानद्वारा मिलान गरिएको छ तर अन्यता एकदम अद्वितीय छ उदाहरण नेधरलान्डमा अङ्क देखि सम्म छ,59,8.53,,,2026-08-13T17:30:02.430347,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,0.3,0.144,14,5,1,0,20,6,107,3,15,0,125,18,19,0.95,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,अहिले आएर इरानले पनि सोइ खोस्ना गरेको हो।,अहिले आएर इरानले पनि सोइ खोस्ना गरेको हो।,अहिले आएर इरानले पनि सोइ खोस्ना गरेको हो,22,6.584,,,2026-08-13T17:30:10.961476,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,0.25,0.15,6,2,0,0,8,2,35,4,1,1,40,6,8,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अंतिम घडीमा एक एक गरेर सारा दृश्य उहाँका सामने आएर थिए र सोच्दा सोच्दै उहाँ गुड़ुल किइर र निदाएछ।,अंतिम घडीमा एक एक गरेर सारा दृश्य उहाँका सामने आएर थिए र सोच्दा सोच्दै उहाँ गुड़ुल किइर र निदाएछ।,अंतिम घडीमा एक एक गरेर सारा दृश्य उहाँका सामने आएर थिए र सोच्दा सोच्दै उहाँ गुड़ुल किइर र निदाएछ,48,7.92,,,2026-08-13T17:30:17.547360,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,0.625,0.25,9,7,0,3,16,10,80,8,8,8,96,24,19,1.1875,0.1875,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासित माइन,विकासित माइन,विकासित माइन,6,5.775,,,2026-08-13T17:30:25.468877,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,0.36363636363636365,0,2,0,0,2,2,9,1,1,2,11,4,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_fleurs_053_3aa6b579c0.wav,audio/clean_fleurs_053_3aa6b579c0.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_053_3aa6b579c0.wav,clean,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,success,अधिकारिहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकासमा खसाल्छ र मतदानको सुचीमा हस्ताक्षर गर्छ।,अधिकारिहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकासमा खसाल्छ र मतदानको सुचीमा हस्ताक्षर गर्छ।,अधिकारिहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकासमा खसाल्छ र मतदानको सुचीमा हस्ताक्षर गर्छ,55,8.421,,,2026-08-13T17:30:31.245430,clean,fleurs_053_3aa6b579c0.wav,fleurs,13.86,13.86,12-15,ok,0.2,0.02727272727272727,12,3,0,0,15,3,108,2,0,1,110,3,15,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_common_voice_040_5a66d81a7d.wav,audio/clean_common_voice_040_5a66d81a7d.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_040_5a66d81a7d.wav,clean,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ ।,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,success,फिल्म हेदा उनले केका लागि तिरुपिसा पाएगा भन्ने प्रश्न खडा हुन्छ।,फिल्म हेदा उनले केका लागि तिरुपिसा पाएगा भन्ने प्रश्न खडा हुन्छ।,फिल्म हेदा उनले केका लागि तिरुपिसा पाएगा भन्ने प्रश्न खडा हुन्छ,32,7.202,,,2026-08-13T17:30:39.668212,clean,common_voice_040_5a66d81a7d.wav,common_voice,5.616,5.616,5-8,ok,0.38461538461538464,0.20270270270270271,8,3,2,0,13,5,59,4,11,0,74,15,11,0.8462,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr54_030_6306fbdefd.wav,audio/clean_slr54_030_6306fbdefd.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_030_6306fbdefd.wav,clean,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,success,शोधकर्ता पनि थी,शोधकर्ता पनि थी,शोधकर्ता पनि थी,9,6.029,,,2026-08-13T17:30:46.871607,clean,slr54_030_6306fbdefd.wav,slr54,4.2,4.2,3-5,ok,0.3333333333333333,0.125,2,1,0,0,3,1,14,1,1,0,16,2,3,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr143_006_bb858103a0.wav,audio/clean_slr143_006_bb858103a0.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_006_bb858103a0.wav,clean,"निर्ममतासँग पृथ्वीलाई यसले आबद्‌ गरेको छ, त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी : तीन परिचय दिन्छन्‌ ।",निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,success,निरममता संग पृथ्वीलाई उहाँले आबद्ध गरेको छ। उसमा गोडा राख्यो भने दुम्सिको काडा उम्रेको जस्तो अंग-अंगका तिक्षा अंक्राले बरबर्ताको सान्नानी तीन परिचय दिन्छ।,निरममता संग पृथ्वीलाई उहाँले आबद्ध गरेको छ। उसमा गोडा राख्यो भने दुम्सिको काडा उम्रेको जस्तो अंग-अंगका तिक्षा अंक्राले बरबर्ताको सान्नानी तीन परिचय दिन्छ।,निरममता संग पृथ्वीलाई उहाँले आबद्ध गरेको छ उसमा गोडा राख्यो भने दुम्सिको काडा उम्रेको जस्तो अंग अंगका तिक्षा अंक्राले बरबर्ताको सान्नानी तीन परिचय दिन्छ,76,9.621,,,2026-08-13T17:30:52.901954,clean,slr143_006_bb858103a0.wav,slr143,12.260188,12.260188,12-15,ok,0.5909090909090909,0.1794871794871795,11,11,0,2,22,13,134,12,10,6,156,28,24,1.0909,0.0909,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_slr43_028_253c4c05c1.wav,audio/clean_slr43_028_253c4c05c1.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr43_028_253c4c05c1.wav,clean,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,success,न्यू वेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य साइचिक सामग्रीका साथ बालबालिका लागि चाहिने धेरै वस्तुहरु पाइन्छ।,न्यू वेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य साइचिक सामग्रीका साथ बालबालिका लागि चाहिने धेरै वस्तुहरु पाइन्छ।,न्यू वेराइटी बुक्स एन्ड स्टेशनरीमा पुस्तक तथा अन्य साइचिक सामग्रीका साथ बालबालिका लागि चाहिने धेरै वस्तुहरु पाइन्छ,52,8.333,,,2026-08-13T17:31:02.523994,clean,slr43_028_253c4c05c1.wav,slr43,8.68,8.68,8-12,ok,0.4117647058823529,0.1016949152542373,10,7,0,0,17,7,106,8,4,0,118,12,17,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
mistralai/Voxtral-Mini-3B-2507,main,3060fe34b35ba5d44202ce9ff3c097642914f8f3,clean:audio/clean_common_voice_045_e5d1ae59c5.wav,audio/clean_common_voice_045_e5d1ae59c5.wav,L3_a,L3,1shot_from_L2_b,39efba52f11be7a3d95daa7d3c71d1b520ad37db3c5b57328d1644b25023e0e1,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",1,['clean:audio/clean_slr43_005_5b5463b34a.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_045_e5d1ae59c5.wav,clean,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है ।,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,success,"लो, कसैको सुत्ने बेरा पारेको पारे, सय सुबह रात्री है।","लो, कसैको सुत्ने बेरा पारेको पारे, सय सुबह रात्री है।",लो कसैको सुत्ने बेरा पारेको पारे सय सुबह रात्री है,28,7.006,,,2026-08-13T17:31:10.858519,clean,common_voice_045_e5d1ae59c5.wav,common_voice,6.696,6.696,5-8,ok,0.7777777777777778,0.37209302325581395,3,6,0,1,9,7,34,9,0,7,43,16,10,1.1111,0.1111,False,False,False,False,,True,False,True,False,True,,,,
