utt_id,audio_path,predicted,ground_truth,wer,cer
0448dd4609,/kaggle/working/asr_nepali_data/asr_nepali/data/04/0448dd4609.flac,बारे सय छ तीस इस री सम्मा,१२३६ ईश्वीसम्म,3.5,1.3571428571428572
0008fd3262,/kaggle/working/asr_nepali_data/asr_nepali/data/00/0008fd3262.flac,[सङ्गीत] बवान अरु जलाई ए।,भवनहरु जलाइए,2.5,1.3333333333333333
0e9d0b236c,/kaggle/working/asr_nepali_data/asr_nepali/data/0e/0e9d0b236c.flac,शेवा निव्रित त हुनु भयो।,सेवानिवृत्त हुनुभयो,2.5,0.42105263157894735
08533a773a,/kaggle/working/asr_nepali_data/asr_nepali/data/08/08533a773a.flac,नि भाचन र हजार अर्चाली थिए नयाँ।,निर्वाचन २०४८ नयाँ,2.3333333333333335,1.2222222222222223
0d77f20229,/kaggle/working/asr_nepali_data/asr_nepali/data/0d/0d77f20229.flac,जल्दा पारा भन्ने चिव अब यार उन्यो,जल्दापारा वन्यजीव अभयारण्य,2.3333333333333335,0.5
0d5c30ad4a,/kaggle/working/asr_nepali_data/asr_nepali/data/0d/0d5c30ad4a.flac,दुई हजार चार साठी साल चाहिँ यता,२०६४ साल चैत,2.0,2.0
045381b42b,/kaggle/working/asr_nepali_data/asr_nepali/data/04/045381b42b.flac,पहिला याद यार ओपा जब पिया जब,प्यार वफा जब,2.0,1.5833333333333333
06737f025c,/kaggle/working/asr_nepali_data/asr_nepali/data/06/06737f025c.flac,हुनु के बेबास आए,मुख्य व्यवसाय,2.0,1.0
0b90b0056b,/kaggle/working/asr_nepali_data/asr_nepali/data/0b/0b90b0056b.flac,बाब्द ८८ से ४० सम्म अभ्राम भाएछिन्थ,१८०४ सम्म अब्राहमहायसिन्थ,2.0,0.72
0bb5a4d298,/kaggle/working/asr_nepali_data/asr_nepali/data/0b/0bb5a4d298.flac,किस्टमा पुषात सिवाको ठि,कृष्णप्रसाद शिवाकोटी,2.0,0.7
0c5361ec52,/kaggle/working/asr_nepali_data/asr_nepali/data/0c/0c5361ec52.flac,अ नि भन्दो कोत्यान्त,निबन्धको अत्यन्त,2.0,0.5625
01dd3c20ca,/kaggle/working/asr_nepali_data/asr_nepali/data/01/01dd3c20ca.flac,अध्वुज छ मा दाले मरो भूमिमा,अद्‌भूत क्षमताले मरुभूमीमा,2.0,0.5384615384615384
0517bc6a66,/kaggle/working/asr_nepali_data/asr_nepali/data/05/0517bc6a66.flac,जीन युनी नक्षामा अधरित,जिएनयुलिनक्समा आधारित,2.0,0.47619047619047616
0fd9719eb7,/kaggle/working/asr_nepali_data/asr_nepali/data/0f/0fd9719eb7.flac,दु खान त नाटोका जस्तो जना,दुखान्त नाटकको सृजना,2.0,0.45
06b9e95460,/kaggle/working/asr_nepali_data/asr_nepali/data/06/06b9e95460.flac,कंखा थर गणमुक्ते स्वरका पूर्व देखि,कङ्खाथर गढमुक्तेश्रवरका पूर्वदेखि,2.0,0.24242424242424243
0429aa3c3e,/kaggle/working/asr_nepali_data/asr_nepali/data/04/0429aa3c3e.flac,उभय लिन्गीहरु मध्ये एकाको,उभयलिङ्गीहरूमध्ये एकको,2.0,0.22727272727272727
05ebfaea92,/kaggle/working/asr_nepali_data/asr_nepali/data/05/05ebfaea92.flac,हर साल बढा दशैको सुरु देखि,हरसाल बडादशैँको सुरुदेखि,2.0,0.20833333333333334
0537f9e291,/kaggle/working/asr_nepali_data/asr_nepali/data/05/0537f9e291.flac,इशा पुव नौशी चौण्न इशा,ईपू ९५४ ईसा,1.6666666666666667,1.6363636363636365
00866e3f11,/kaggle/working/asr_nepali_data/asr_nepali/data/00/00866e3f11.flac,[सङ्गीत] प्रथम परि जया बाह्र सय,प्रथम परिचय १२००,1.6666666666666667,1.25
