model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,यस छेद्रको बारीकी कुर्नी दिन बहसले अर्मेनियार अज़रबैजान बीचको सम्मलाई निरंतर रूपमा छाती प्रयोग गर्छ।,यस छेद्रको बारीकी कुर्नी दिन बहसले अर्मेनियार अज़रबैजान बीचको सम्मलाई निरंतर रूपमा छाती प्रयोग गर्छ।,यस छेद्रको बारीकी कुर्नी दिन बहसले अर्मेनियार अज़रबैजान बीचको सम्मलाई निरंतर रूपमा छाती प्रयोग गर्छ,99,9.548,,,2026-08-12T21:21:45.546419,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,0.8,0.3431372549019608,4,10,1,1,15,12,72,22,8,5,102,35,15,1.0,0.0667,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,संविधान सभा मा प्रमुख दास हाथ।,संविधान सभा मा प्रमुख दास हाथ।,संविधान सभा मा प्रमुख दास हाथ,26,3.899,,,2026-08-12T21:21:55.095758,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,2.0,0.24,0,3,0,3,3,6,23,2,0,4,25,6,6,2.0,1.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr43_007_abf4cda1d0.wav,audio/clean_slr43_007_abf4cda1d0.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_007_abf4cda1d0.wav,clean,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,success,सिंधुलिमा कमला माई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका मा कटारी गुर्मी पीमान लगायत बाजार समेत सन्।,सिंधुलिमा कमला माई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका मा कटारी गुर्मी पीमान लगायत बाजार समेत सन्।,सिंधुलिमा कमला माई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका मा कटारी गुर्मी पीमान लगायत बाजार समेत सन्,113,10.565,,,2026-08-12T21:21:58.995907,clean,slr43_007_abf4cda1d0.wav,slr43,12.162688,12.162688,12-15,ok,0.9375,0.15789473684210525,6,10,0,5,16,15,104,7,3,8,114,18,21,1.3125,0.3125,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_common_voice_014_28ed6f5044.wav,audio/clean_common_voice_014_28ed6f5044.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_014_28ed6f5044.wav,clean,बिश्वकप ट्रफी त पनौती हो की के हो?,बिश्वकप ट्रफी त पनौती हो की के हो,बिश्वकप ट्रफी त पनौती हो की के हो,success,बिश्वकप ट्रॉफी तपनो ठेव्यो गियो।,बिश्वकप ट्रॉफी तपनो ठेव्यो गियो।,बिश्वकप ट्रॉफी तपनो ठेव्यो गियो,33,4.554,,,2026-08-12T21:22:09.562223,clean,common_voice_014_28ed6f5044.wav,common_voice,4.176,4.176,3-5,ok,0.875,0.45454545454545453,1,4,3,0,8,7,19,11,3,1,33,15,5,0.625,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_052_6507befbb7.wav,audio/clean_fleurs_052_6507befbb7.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_052_6507befbb7.wav,clean,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,एक हजार बर्षभन्दा भन्दा बढी देखि नै चर्चको केन्द्रीय अधिकार रोममा रहेको थियो र शक्ति र पैसाको एकिकरणले गर्दा धेरैलाई यो प्रश्न गर्न उक्सायो कि के यदि यो सिद्धान्त पूरा भइरहेको छ,success,एक हजार वर्ष से बाद बंदा बंदा बड़ी देखी नहीं चार्चको केन्द्रीय अधिकार रोन्मा रहेको थियो र सक्तिरो पैसाको एकीकरण लेगर्दा देखिए यो प्रश्न गवर्नर उपसायो की केही दिन यो सिद्धांत बुला पीरे गोचार,एक हजार वर्ष से बाद बंदा बंदा बड़ी देखी नहीं चार्चको केन्द्रीय अधिकार रोन्मा रहेको थियो र सक्तिरो पैसाको एकीकरण लेगर्दा देखिए यो प्रश्न गवर्नर उपसायो की केही दिन यो सिद्धांत बुला पीरे गोचार,एक हजार वर्ष से बाद बंदा बंदा बड़ी देखी नहीं चार्चको केन्द्रीय अधिकार रोन्मा रहेको थियो र सक्तिरो पैसाको एकीकरण लेगर्दा देखिए यो प्रश्न गवर्नर उपसायो की केही दिन यो सिद्धांत बुला पीरे गोचार,180,15.276,,,2026-08-12T21:22:14.117694,clean,fleurs_052_6507befbb7.wav,fleurs,14.1,14.1,12-15,ok,0.75,0.3220338983050847,11,20,1,3,32,24,139,31,7,19,177,57,34,1.0625,0.0938,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_029_def41e18d7.wav,audio/clean_slr54_029_def41e18d7.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_029_def41e18d7.wav,clean,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,गराएका अन्तर्राष्ट्रिय श्रमसङ्गठनका,success,गोराईका अंतरराष्ट्रीय स्नान संग्रहालयका,गोराईका अंतरराष्ट्रीय स्नान संग्रहालयका,गोराईका अंतरराष्ट्रीय स्नान संग्रहालयका,36,4.869,,,2026-08-12T21:22:29.395237,clean,slr54_029_def41e18d7.wav,slr54,5.8,5.8,5-8,ok,1.3333333333333333,0.5142857142857142,0,3,0,1,3,4,23,10,2,6,35,18,4,1.3333,0.3333,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr43_002_88524b17d9.wav,audio/clean_slr43_002_88524b17d9.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_002_88524b17d9.wav,clean,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,रोजमेरी किचन र कफी पसलको वार्षिक आम्दानी सोचेभन्दा निकै बढी भएकाले साझेदारहरूलाई थप सेयर प्रदान गरेको छ,success,रोजमेरी की चर्चा काफी पसलको बारसी कामदारी सोचे बनाने की बडी पैकले साथिदार हरुले थोप सियर प्रदान करिएको थोप।,रोजमेरी की चर्चा काफी पसलको बारसी कामदारी सोचे बनाने की बडी पैकले साथिदार हरुले थोप सियर प्रदान करिएको थोप।,रोजमेरी की चर्चा काफी पसलको बारसी कामदारी सोचे बनाने की बडी पैकले साथिदार हरुले थोप सियर प्रदान करिएको थोप,96,9.129,,,2026-08-12T21:22:34.265055,clean,slr43_002_88524b17d9.wav,slr43,8.945313,8.945313,8-12,ok,0.9411764705882353,0.39805825242718446,3,14,0,2,17,16,71,26,6,9,103,41,19,1.1176,0.1176,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_012_bbd8cc71ed.wav,audio/clean_slr143_012_bbd8cc71ed.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_012_bbd8cc71ed.wav,clean,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।",उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,उसले बैनीलाई राखेर भन्यो बैनी तिमीले पढ्नु पनि पर्छ,success,उसले बौनीले राखिएर बहनी बौनी तिमिले पर्नु पनि पार्सा।,उसले बौनीले राखिएर बहनी बौनी तिमिले पर्नु पनि पार्सा।,उसले बौनीले राखिएर बहनी बौनी तिमिले पर्नु पनि पार्सा,53,5.948,,,2026-08-12T21:22:43.395601,clean,slr143_012_bbd8cc71ed.wav,slr143,5.184063,5.184063,5-8,ok,0.7777777777777778,0.3137254901960784,2,7,0,0,9,7,39,9,3,4,51,16,9,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_common_voice_003_34ea2908fc.wav,audio/clean_common_voice_003_34ea2908fc.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_common_voice_003_34ea2908fc.wav,clean,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ?,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,कुन फिलिम हेर्दै हुनुहुन्छ रोशन दाइ,success,कुन्फी मेरे दैनिक चरो संदेह।,कुन्फी मेरे दैनिक चरो संदेह।,कुन्फी मेरे दैनिक चरो संदेह,28,4.102,,,2026-08-12T21:22:49.344490,clean,common_voice_003_34ea2908fc.wav,common_voice,3.78,3.78,3-5,ok,1.0,0.6571428571428571,0,5,1,0,6,6,12,15,8,0,35,23,5,0.8333,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,noisy:audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,L3_a,L3,1shot_from_L2_a,0fa53fd2278594015f27891b28cabfe0a88b17e013866f5e71654d032f8ec35e,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",1,['clean:audio/clean_slr143_002_577615770e.wav'],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/noisy_noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,noisy,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,दुर्घटना स्थल आज पहिचान गरिएको थियो तर त्यहाँ पुग्न यति कठिन छ कि घटनास्थलसम्म हिँडेर जान र बचेकाहरूको खोजी गर्न भनेर दुई जना पुलिसलाई जङ्गलमा झारियो,success,जुर्गोट्ना स्थलाजा पुर्याण गोर्ये को देवता र त्याग गोर्या स्थल सम्म हिडर र जाना र बचे का अवसर को खोजी करना बना र दूरी जाना पुलिस टाइप जंगलमा छारियो,जुर्गोट्ना स्थलाजा पुर्याण गोर्ये को देवता र त्याग गोर्या स्थल सम्म हिडर र जाना र बचे का अवसर को खोजी करना बना र दूरी जाना पुलिस टाइप जंगलमा छारियो,जुर्गोट्ना स्थलाजा पुर्याण गोर्ये को देवता र त्याग गोर्या स्थल सम्म हिडर र जाना र बचे का अवसर को खोजी करना बना र दूरी जाना पुलिस टाइप जंगलमा छारियो,139,12.46,,,2026-08-12T21:22:53.447985,noisy,audio/noisy_096_fleurs_023_92e4868cb8_noise_15db.wav,fleurs,12.42,12.42,12-15,ok,1.0769230769230769,0.4966442953020134,1,25,0,3,26,28,93,36,20,18,149,74,29,1.1154,0.1154,False,False,False,False,,True,False,True,False,True,noise,15.0,,
